Q, g1, g2, g3
1.000000e+00, 4.386300e-01, 6.200246e-01, 1.191813e+00
1.479108e+00, 4.400483e-01, 6.207575e-01, 1.179924e+00
2.187762e+00, 4.414800e-01, 6.214910e-01, 1.168377e+00
3.235936e+00, 4.429251e-01, 6.222252e-01, 1.157155e+00
4.786301e+00, 4.443841e-01, 6.229601e-01, 1.146243e+00
7.079458e+00, 4.458572e-01, 6.236959e-01, 1.135629e+00
1.047128e+01, 4.473445e-01, 6.244325e-01, 1.125298e+00
1.548817e+01, 4.488463e-01, 6.251701e-01, 1.115238e+00
2.290868e+01, 4.503630e-01, 6.259088e-01, 1.105439e+00
3.388441e+01, 4.518947e-01, 6.266485e-01, 1.095889e+00
5.011873e+01, 4.534417e-01, 6.273893e-01, 1.086577e+00
7.413103e+01, 4.550043e-01, 6.281314e-01, 1.077495e+00
1.096478e+02, 4.565828e-01, 6.288746e-01, 1.068633e+00
1.621810e+02, 4.581775e-01, 6.296192e-01, 1.059982e+00
2.398834e+02, 4.597886e-01, 6.303651e-01, 1.051535e+00
3.548134e+02, 4.614165e-01, 6.311124e-01, 1.043283e+00
5.248075e+02, 4.630614e-01, 6.318611e-01, 1.035219e+00
7.762473e+02, 4.647238e-01, 6.326113e-01, 1.027336e+00
1.148153e+03, 4.664038e-01, 6.333630e-01, 1.019628e+00
1.698244e+03, 4.681018e-01, 6.341163e-01, 1.012088e+00
2.511887e+03, 4.698182e-01, 6.348712e-01, 1.004711e+00
3.715352e+03, 4.715534e-01, 6.356278e-01, 9.974899e-01
5.495409e+03, 4.733076e-01, 6.363860e-01, 9.904204e-01
8.128307e+03, 4.750812e-01, 6.371460e-01, 9.834969e-01
1.202264e+04, 4.768746e-01, 6.379077e-01, 9.767147e-01
1.778279e+04, 4.786882e-01, 6.386712e-01, 9.700689e-01
2.630268e+04, 4.805224e-01, 6.394366e-01, 9.635552e-01
3.890453e+04, 4.823775e-01, 6.402038e-01, 9.571693e-01
5.754402e+04, 4.842541e-01, 6.409730e-01, 9.509070e-01
8.511377e+04, 4.861524e-01, 6.417441e-01, 9.447645e-01
1.258925e+05, 4.880730e-01, 6.425171e-01, 9.387381e-01
1.862087e+05, 4.900163e-01, 6.432922e-01, 9.328241e-01
2.754229e+05, 4.919827e-01, 6.440693e-01, 9.270192e-01
4.073804e+05, 4.939728e-01, 6.448485e-01, 9.213200e-01
6.025599e+05, 4.959870e-01, 6.456298e-01, 9.157235e-01
8.912506e+05, 4.980258e-01, 6.464133e-01, 9.102266e-01
1.318256e+06, 5.000898e-01, 6.471989e-01, 9.048264e-01
1.949844e+06, 5.021793e-01, 6.479867e-01, 8.995202e-01
2.884032e+06, 5.042951e-01, 6.487768e-01, 8.943053e-01
4.265796e+06, 5.064377e-01, 6.495691e-01, 8.891790e-01
6.309576e+06, 5.086076e-01, 6.503637e-01, 8.841390e-01
9.332538e+06, 5.108054e-01, 6.511606e-01, 8.791829e-01
1.380384e+07, 5.130317e-01, 6.519599e-01, 8.743084e-01
2.041738e+07, 5.152873e-01, 6.527616e-01, 8.695133e-01
3.019952e+07, 5.175727e-01, 6.535656e-01, 8.647955e-01
4.466837e+07, 5.198885e-01, 6.543722e-01, 8.601530e-01
6.606937e+07, 5.222356e-01, 6.551811e-01, 8.555837e-01
9.772367e+07, 5.246145e-01, 6.559926e-01, 8.510859e-01
1.445439e+08, 5.270261e-01, 6.568066e-01, 8.466576e-01
2.137962e+08, 5.294711e-01, 6.576232e-01, 8.422971e-01
3.162278e+08, 5.319502e-01, 6.584423e-01, 8.380028e-01
4.677352e+08, 5.344644e-01, 6.592641e-01, 8.337729e-01
6.918312e+08, 5.370144e-01, 6.600885e-01, 8.296059e-01
1.023294e+09, 5.396011e-01, 6.609156e-01, 8.255003e-01
1.513562e+09, 5.422254e-01, 6.617453e-01, 8.214546e-01
2.238723e+09, 5.448882e-01, 6.625778e-01, 8.174673e-01
3.311315e+09, 5.475905e-01, 6.634131e-01, 8.135371e-01
4.897783e+09, 5.503332e-01, 6.642511e-01, 8.096627e-01
7.244354e+09, 5.531175e-01, 6.650919e-01, 8.058427e-01
1.071519e+10, 5.559443e-01, 6.659356e-01, 8.020759e-01
1.584893e+10, 5.588148e-01, 6.667821e-01, 7.983610e-01
2.344228e+10, 5.617301e-01, 6.676315e-01, 7.946970e-01
3.467368e+10, 5.646913e-01, 6.684839e-01, 7.910826e-01
5.128614e+10, 5.676998e-01, 6.693392e-01, 7.875168e-01
7.585778e+10, 5.707568e-01, 6.701974e-01, 7.839985e-01
1.122019e+11, 5.738636e-01, 6.710587e-01, 7.805267e-01
1.659588e+11, 5.770217e-01, 6.719230e-01, 7.771003e-01
2.454711e+11, 5.802323e-01, 6.727904e-01, 7.737183e-01
3.630784e+11, 5.834970e-01, 6.736609e-01, 7.703799e-01
5.370312e+11, 5.868174e-01, 6.745344e-01, 7.670842e-01
7.943275e+11, 5.901950e-01, 6.754112e-01, 7.638301e-01
1.174897e+12, 5.936316e-01, 6.762911e-01, 7.606169e-01
1.737800e+12, 5.971289e-01, 6.771742e-01, 7.574438e-01
2.570395e+12, 6.006886e-01, 6.780606e-01, 7.543098e-01
3.801893e+12, 6.043127e-01, 6.789502e-01, 7.512142e-01
5.623413e+12, 6.080031e-01, 6.798431e-01, 7.481563e-01
8.317639e+12, 6.117620e-01, 6.807393e-01, 7.451352e-01
1.230269e+13, 6.155914e-01, 6.816389e-01, 7.421504e-01
1.819702e+13, 6.194936e-01, 6.825419e-01, 7.392009e-01
2.691537e+13, 6.234709e-01, 6.834483e-01, 7.362862e-01
3.981075e+13, 6.275258e-01, 6.843582e-01, 7.334056e-01
5.888443e+13, 6.316608e-01, 6.852715e-01, 7.305585e-01
8.709627e+13, 6.358787e-01, 6.861883e-01, 7.277441e-01
1.288249e+14, 6.401822e-01, 6.871087e-01, 7.249620e-01
1.905460e+14, 6.445744e-01, 6.880326e-01, 7.222114e-01
2.818382e+14, 6.490582e-01, 6.889602e-01, 7.194918e-01
4.168693e+14, 6.536369e-01, 6.898913e-01, 7.168026e-01
6.165950e+14, 6.583139e-01, 6.908262e-01, 7.141432e-01
9.120109e+14, 6.630929e-01, 6.917647e-01, 7.115132e-01
1.348963e+15, 6.679776e-01, 6.927070e-01, 7.089120e-01
1.995263e+15, 6.729719e-01, 6.936530e-01, 7.063391e-01
2.951211e+15, 6.780800e-01, 6.946029e-01, 7.037939e-01
4.365162e+15, 6.833063e-01, 6.955565e-01, 7.012760e-01
6.456549e+15, 6.886555e-01, 6.965141e-01, 6.987849e-01
9.549916e+15, 6.941324e-01, 6.974755e-01, 6.963202e-01
1.412536e+16, 6.997423e-01, 6.984409e-01, 6.938813e-01
2.089295e+16, 7.054907e-01, 6.994102e-01, 6.914679e-01
3.090294e+16, 7.113832e-01, 7.003836e-01, 6.890794e-01
