Q, g1, g2, g3
1.479108e+00, 1.622312e-02, 3.236766e-02, 3.568826e-01
2.187762e+00, 1.627952e-02, 3.248017e-02, 2.925236e-01
3.235936e+00, 1.634877e-02, 3.261834e-02, 2.489819e-01
4.786301e+00, 1.640993e-02, 3.274037e-02, 2.180313e-01
7.079458e+00, 1.648097e-02, 3.288210e-02, 1.958188e-01
1.047128e+01, 1.654982e-02, 3.301946e-02, 1.778528e-01
1.548817e+01, 1.660838e-02, 3.313631e-02, 1.630005e-01
2.290868e+01, 1.670724e-02, 3.333354e-02, 1.505039e-01
3.388441e+01, 1.676792e-02, 3.345461e-02, 1.398351e-01
5.011873e+01, 1.686637e-02, 3.365103e-02, 1.306145e-01
7.413103e+01, 1.692202e-02, 3.376206e-02, 1.225620e-01
1.096478e+02, 1.695053e-02, 3.381894e-02, 1.154657e-01
1.621810e+02, 1.696614e-02, 3.385009e-02, 1.091629e-01
2.398834e+02, 1.698178e-02, 3.388129e-02, 1.035257e-01
3.548134e+02, 1.699745e-02, 3.391255e-02, 9.845286e-02
5.248075e+02, 1.701314e-02, 3.394387e-02, 9.386269e-02
7.762473e+02, 1.702887e-02, 3.397525e-02, 8.968869e-02
1.148153e+03, 1.704463e-02, 3.400668e-02, 8.587613e-02
1.698244e+03, 1.706041e-02, 3.403818e-02, 8.237954e-02
2.511887e+03, 1.707622e-02, 3.406973e-02, 7.916083e-02
3.715352e+03, 1.709207e-02, 3.410134e-02, 7.618783e-02
5.495409e+03, 1.710794e-02, 3.413300e-02, 7.343318e-02
8.128307e+03, 1.712384e-02, 3.416473e-02, 7.087346e-02
1.202264e+04, 1.713977e-02, 3.419652e-02, 6.848854e-02
1.778279e+04, 1.715574e-02, 3.422836e-02, 6.626093e-02
2.630268e+04, 1.717173e-02, 3.426027e-02, 6.417545e-02
3.890453e+04, 1.718775e-02, 3.429223e-02, 6.221881e-02
5.754402e+04, 1.720380e-02, 3.432426e-02, 6.037934e-02
8.511377e+04, 1.721988e-02, 3.435634e-02, 5.864675e-02
1.258925e+05, 1.723599e-02, 3.438848e-02, 5.701191e-02
1.862087e+05, 1.725213e-02, 3.442069e-02, 5.546674e-02
2.754229e+05, 1.726830e-02, 3.445295e-02, 5.400399e-02
4.073804e+05, 1.728450e-02, 3.448528e-02, 5.261720e-02
6.025599e+05, 1.730074e-02, 3.451766e-02, 5.130058e-02
8.912506e+05, 1.731700e-02, 3.455011e-02, 5.004890e-02
1.318256e+06, 1.733329e-02, 3.458262e-02, 4.885745e-02
1.949844e+06, 1.734962e-02, 3.461519e-02, 4.772196e-02
2.884032e+06, 1.736597e-02, 3.464782e-02, 4.663857e-02
4.265796e+06, 1.738236e-02, 3.468051e-02, 4.560377e-02
6.309576e+06, 1.739877e-02, 3.471326e-02, 4.461435e-02
9.332538e+06, 1.741522e-02, 3.474608e-02, 4.366655e-02
1.380384e+07, 1.743170e-02, 3.477896e-02, 4.275901e-02
2.041738e+07, 1.744821e-02, 3.481190e-02, 4.188876e-02
3.019952e+07, 1.746475e-02, 3.484490e-02, 4.105352e-02
4.466837e+07, 1.748132e-02, 3.487796e-02, 4.025120e-02
6.606937e+07, 1.749793e-02, 3.491109e-02, 3.947989e-02
9.772367e+07, 1.751456e-02, 3.494428e-02, 3.873822e-02
1.445439e+08, 1.753123e-02, 3.497754e-02, 3.802359e-02
2.137962e+08, 1.754793e-02, 3.501085e-02, 3.733506e-02
3.162278e+08, 1.756466e-02, 3.504423e-02, 3.667122e-02
4.677352e+08, 1.758142e-02, 3.507768e-02, 3.603075e-02
6.918312e+08, 1.759822e-02, 3.511119e-02, 3.541244e-02
1.023294e+09, 1.761505e-02, 3.514476e-02, 3.481513e-02
1.513562e+09, 1.763191e-02, 3.517840e-02, 3.423779e-02
2.238723e+09, 1.764880e-02, 3.521210e-02, 3.367941e-02
3.311315e+09, 1.766572e-02, 3.524586e-02, 3.313907e-02
4.897783e+09, 1.768268e-02, 3.527969e-02, 3.261591e-02
7.244354e+09, 1.769967e-02, 3.531359e-02, 3.210912e-02
1.071519e+10, 1.771669e-02, 3.534755e-02, 3.161793e-02
1.584893e+10, 1.773374e-02, 3.538158e-02, 3.114164e-02
2.344228e+10, 1.775083e-02, 3.541567e-02, 3.067958e-02
3.467368e+10, 1.776795e-02, 3.544983e-02, 3.023110e-02
5.128614e+10, 1.778510e-02, 3.548405e-02, 2.979563e-02
7.585778e+10, 1.780229e-02, 3.551834e-02, 2.937260e-02
1.122019e+11, 1.781951e-02, 3.555270e-02, 2.896149e-02
1.659588e+11, 1.783676e-02, 3.558712e-02, 2.856179e-02
2.454711e+11, 1.785405e-02, 3.562161e-02, 2.817304e-02
3.630784e+11, 1.787137e-02, 3.565617e-02, 2.779478e-02
5.370312e+11, 1.788872e-02, 3.569079e-02, 2.742659e-02
7.943275e+11, 1.790611e-02, 3.572548e-02, 2.706809e-02
1.174897e+12, 1.792353e-02, 3.576024e-02, 2.671889e-02
1.737800e+12, 1.794099e-02, 3.579506e-02, 2.637862e-02
2.570395e+12, 1.795848e-02, 3.582996e-02, 2.604697e-02
3.801893e+12, 1.797600e-02, 3.586492e-02, 2.572359e-02
5.623413e+12, 1.799356e-02, 3.589995e-02, 2.540818e-02
8.317639e+12, 1.801115e-02, 3.593505e-02, 2.510045e-02
1.230269e+13, 1.802878e-02, 3.597022e-02, 2.480012e-02
1.819702e+13, 1.804644e-02, 3.600545e-02, 2.450693e-02
2.691537e+13, 1.806413e-02, 3.604076e-02, 2.422062e-02
3.981075e+13, 1.808186e-02, 3.607613e-02, 2.394096e-02
5.888443e+13, 1.809963e-02, 3.611158e-02, 2.366771e-02
8.709627e+13, 1.811743e-02, 3.614709e-02, 2.340066e-02
1.288249e+14, 1.813526e-02, 3.618267e-02, 2.313960e-02
1.905460e+14, 1.815313e-02, 3.621833e-02, 2.288432e-02
2.818382e+14, 1.817104e-02, 3.625405e-02, 2.263464e-02
4.168693e+14, 1.818898e-02, 3.628985e-02, 2.239037e-02
6.165950e+14, 1.820696e-02, 3.632571e-02, 2.215134e-02
9.120109e+14, 1.822497e-02, 3.636165e-02, 2.191739e-02
1.348963e+15, 1.824302e-02, 3.639766e-02, 2.168834e-02
1.995263e+15, 1.826110e-02, 3.643374e-02, 2.146406e-02
2.951211e+15, 1.827922e-02, 3.646989e-02, 2.124438e-02
4.365162e+15, 1.829737e-02, 3.650611e-02, 2.102917e-02
6.456549e+15, 1.831557e-02, 3.654240e-02, 2.081830e-02
9.549916e+15, 1.833379e-02, 3.657877e-02, 2.061164e-02
1.412536e+16, 1.835206e-02, 3.661521e-02, 2.040905e-02
2.089295e+16, 1.837036e-02, 3.665172e-02, 2.021042e-02
3.090294e+16, 1.838869e-02, 3.668831e-02, 2.001564e-02
4.570880e+16, 1.840707e-02, 3.672497e-02, 1.982459e-02
6.760829e+16, 1.842548e-02, 3.676170e-02, 1.963716e-02
1.000000e+17, 1.844392e-02, 3.679850e-02, 1.945326e-02
