Q, g1, g2, g3
1.479108e+00, 1.622421e-02, 3.791093e-02, 3.568826e-01
2.187762e+00, 1.628291e-02, 3.754149e-02, 2.925236e-01
3.235936e+00, 1.634204e-02, 3.717917e-02, 2.489819e-01
4.786301e+00, 1.640159e-02, 3.682379e-02, 2.180313e-01
7.079458e+00, 1.646159e-02, 3.647513e-02, 1.958188e-01
1.047128e+01, 1.652202e-02, 3.613301e-02, 1.778528e-01
1.548817e+01, 1.658290e-02, 3.579725e-02, 1.630005e-01
2.290868e+01, 1.664423e-02, 3.546768e-02, 1.505039e-01
3.388441e+01, 1.670602e-02, 3.514411e-02, 1.398351e-01
5.011873e+01, 1.676826e-02, 3.482640e-02, 1.306145e-01
7.413103e+01, 1.683097e-02, 3.451438e-02, 1.225620e-01
1.096478e+02, 1.689415e-02, 3.420790e-02, 1.154657e-01
1.621810e+02, 1.695781e-02, 3.390682e-02, 1.091629e-01
2.398834e+02, 1.702195e-02, 3.361099e-02, 1.035257e-01
3.548134e+02, 1.708658e-02, 3.332028e-02, 9.845286e-02
5.248075e+02, 1.715170e-02, 3.303455e-02, 9.386269e-02
7.762473e+02, 1.721732e-02, 3.275368e-02, 8.968869e-02
1.148153e+03, 1.728344e-02, 3.247755e-02, 8.587613e-02
1.698244e+03, 1.735007e-02, 3.220604e-02, 8.237954e-02
2.511887e+03, 1.741722e-02, 3.193902e-02, 7.916083e-02
3.715352e+03, 1.748488e-02, 3.167640e-02, 7.618783e-02
5.495409e+03, 1.755308e-02, 3.141806e-02, 7.343318e-02
8.128307e+03, 1.762181e-02, 3.116390e-02, 7.087346e-02
1.202264e+04, 1.769108e-02, 3.091383e-02, 6.848854e-02
1.778279e+04, 1.776090e-02, 3.066773e-02, 6.626093e-02
2.630268e+04, 1.783127e-02, 3.042552e-02, 6.417545e-02
3.890453e+04, 1.790220e-02, 3.018710e-02, 6.221881e-02
5.754402e+04, 1.797370e-02, 2.995239e-02, 6.037934e-02
8.511377e+04, 1.804577e-02, 2.972131e-02, 5.864675e-02
1.258925e+05, 1.811842e-02, 2.949376e-02, 5.701191e-02
1.862087e+05, 1.819166e-02, 2.926967e-02, 5.546674e-02
2.754229e+05, 1.826549e-02, 2.904896e-02, 5.400399e-02
4.073804e+05, 1.833993e-02, 2.883156e-02, 5.261720e-02
6.025599e+05, 1.841497e-02, 2.861738e-02, 5.130058e-02
8.912506e+05, 1.849063e-02, 2.840636e-02, 5.004890e-02
1.318256e+06, 1.856692e-02, 2.819843e-02, 4.885745e-02
1.949844e+06, 1.864384e-02, 2.799353e-02, 4.772196e-02
2.884032e+06, 1.872139e-02, 2.779158e-02, 4.663857e-02
4.265796e+06, 1.879960e-02, 2.759252e-02, 4.560377e-02
6.309576e+06, 1.887846e-02, 2.739629e-02, 4.461435e-02
9.332538e+06, 1.895798e-02, 2.720284e-02, 4.366655e-02
